umls_id,mondo_id
C1336744,2163
C0154870,2164
C0034885,2165
C1335685,2166
C0349539,2167
C1335688,2168
C0149978,2169
C0155430,2170
C0017525,2171
C0155428,2172
C0027858,2173
C0339436,2175
C0027656,2176
C0020459,2177
C0153572,2178
C1442903,2181
C0242490,2183
C0020492,2185
C0155804,2186
C0042994,2187
C1520091,2188
C1520099,2190
C0206673,2191
C1274281,2192
C1336982,2194
C1520097,2195
C0159006,2196
C1510791,2197
C1520082,2198
C1511091,2199
C0346026,2200
C1520100,2201
C3887596,2204
C0241989,2205
C1321904,2206
C1275217,2207
C0158322,2209
C0339946,2212
C1332606,2214
C1332607,2216
C1332892,2217
C0153636,2218
C0341766,2219
C0155926,2220
C1519826,2221
C1336888,2222
C1518721,2223
C0235770,2224
C0280746,2225
C0275932,2226
C1518720,2227
C0341823,2229
C1518746,2230
C0339820,2232
C0266853,2233
C0042267,2234
C0015424,2235
C0007078,2237
C0153439,2238
C0154190,2239
C0155390,2240
C0600503,2242
C0015503,2244
C0155389,2246
C0836924,2249
C0004812,2250
C0235369,2252
C0038019,2253
C0039082,2254
C0020561,2255
C0007867,2256
C0031350,2258
C0018050,2259
C0085160,2260
C0235270,2261
C1333176,2262
C0156296,2264
C0155888,2266
C0001883,2267
C0017160,2269
C0563238,2270
C0338106,2271
C0154254,2272
C0026471,2274
C0017327,2275
C0003850,2277
C3665365,2277
C0004991,2278
C0012715,2279
C0002886,2281
C0338473,2283
C0034124,2285
C3640053,2286
C0268837,2287
C0022078,2289
C0153589,2290
C0346060,2291
C0346063,2293
C0346083,2295
C0345988,2297
C1275226,2298
C0334421,2299
C0346041,2300
C1333646,2301
C0154841,2303
C0242666,2304
C0398623,2305
C0155149,2306
C0005743,2307
C0009769,2308
C0854165,2309
C0155372,2310
C0154833,2311
C0029119,2312
C0009773,2313
C0155145,2314
C0235025,2316
C0155503,2317
C1336772,2318
C0031707,2319
C0151313,2321
C0085411,2322
C0343082,2323
C0040436,2325
C1334237,2327
C0154050,2328
C0039584,2329
C0027720,2331
C0037997,2332
C0272412,2333
C1512393,2334
C0154052,2337
C0270849,2338
C0393724,2340
C0018202,2341
C0085700,2342
C0685201,2343
C3501848,2350
C0153483,2351
C0007107,2352
C0345713,2353
C0153952,2354
C0740083,2355
C0153433,2357
C0595989,2358
C0334548,2359
C0936248,2360
C0153434,2361
C0334360,2362
C0030354,2363
C0346256,2365
C1332356,2366
C0740457,2367
C0334359,2368
C0010633,2369
C0334497,2371
C0280134,2372
C0025500,2373
C0348424,2373
C1368816,2375
C0346424,2376
C0334496,2377
C0011649,2378
C1368903,2379
C0027070,2380
C0038987,2381
C0334491,2382
C0334599,2383
C1266138,2385
C1272677,2386
C0345907,2387
C0334374,2388
C0334684,2395
C1266141,2396
C0345906,2397
C0334499,2398
C0588125,2399
C1266168,2401
C0334229,2402
C1334624,2403
C0238246,2404
C0400923,2405
C3875321,2406
C0206733,2407
C0020435,2408
C0020433,2408
C0013447,2409
C0156254,2410
C0017919,2412
C1333770,2414
C0700110,2415
C1333477,2416
C1333472,2418
C0334556,2422
C1367554,2422
C0345873,2423
C1327709,2424
C0153443,2425
C0598790,2426
C0007760,2427
C2350236,2429
C0346331,2432
C0153644,2433
C0686417,2434
C1263895,2435
C0028432,2436
C0856815,2437
C1318533,2438
C0391869,2440
C0022387,2441
C0023976,2442
C0476089,2447
C0206687,2447
C1334377,2448
C0155122,2449
C0520477,2450
C1332535,2451
C1335510,2452
C0035352,2453
C1299238,2455
C0242387,2457
C0020522,2459
C1334361,2460
C0017662,2461
C0017658,2462
C1334358,2463
C0006271,2465
C0848866,2466
C1334069,2468
C0346342,2469
C1848412,2470
C1955934,2470
C0006444,2471
C0344460,2472
C3887499,2473
C0020501,2474
C0346341,2475
C0003460,2476
C1335515,2477
C1321220,2478
C0206723,2479
C0474809,2480
C1335172,2481
C1112166,2482
C1511319,2483
C1332635,2485
C0861352,2486
C1511312,2487
C0948967,2488
C0349667,2490
C1332139,2493
C1707436,2495
C1515024,2496
C0349543,2501
C1332183,2503
C1321865,2505
C0017574,2508
C0436545,2509
C0001420,2512
C0854196,2514
C0267792,2515
C1333754,2518
C0003462,2519
C0016167,2519
C1301262,2519
C0162533,2520
C1318543,2522
C0162855,2523
C0154251,2525
C0474966,2526
C0022572,2527
C0476203,2528
C0553723,2529
C0037286,2531
C0206720,2532
C0205650,2533
C1517123,2534
C0334243,2535
C0347390,2536
C0206721,2537
C0280475,2540
C0346295,2541
C2937245,2542
C0279070,2543
C0346286,2544
C0037928,2545
C0027809,2546
C0431124,2548
C1335928,2549
C1263903,2550
C1332905,2551
C0154685,2552
C1336543,2554
C0349582,2555
C4054526,2556
C1306247,2558
C1370659,2559
C0085078,2561
C0011303,2562
C1334297,2563
C0022374,2564
C0026975,2565
C4025678,2567
C0040583,2568
C0038353,2569
C0019537,2570
C0240803,2571
C0742472,2571
C0032290,2572
C1761609,2572
C1335508,2574
C1333505,2576
C2064434,2577
C1306574,2578
C1335127,2579
C0346347,2580
C1266134,2581
C0153924,2582
C0346172,2583
C1332629,2585
C0751552,2586
C1333383,2587
C1266091,2588
C0278846,2592
C0276180,2594
C0042214,2595
C1335069,2597
C0206660,2598
C0206664,2599
C4021765,2602
C0206633,2603
C1335392,2604
C1333962,2605
C1333426,2606
C0034150,2610
C0085541,2612
C0029400,2614
C0043325,2615
C1334699,2616
C1332574,2617
C0740479,2618
C2733623,2619
C0278511,2620
C0855052,2621
C1334820,2622
C1332986,2623
C1332579,2624
C0585474,2625
C1263902,2626
C0279603,2627
C1332591,2628
C0279622,2630
C1266166,2631
C1334704,2632
C0010267,2633
C1332581,2634
C0031090,2635
C0152180,2636
C0019618,2637
C1263900,2638
C0751941,2639
C0524802,2640
C0155746,2641
C1263896,2642
C0042594,2643
C1334150,2644
C0742115,2645
C0853195,2646
C0023067,2647
C0030185,2648
C0238330,2649
C1370468,2650
C1332274,2651
C1332257,2652
C0221286,2653
C0042131,2654
C0699893,2656
C0006145,2657
C0346372,2658
C3665670,2659
C0005742,2660
C0042161,2661
C0861859,2664
C0279659,2665
C1335317,2666
C1333758,2667
C1332249,2669
C1332243,2670
C1335964,2671
C1335520,2672
C0278595,2676
C1333156,2677
C0279981,2678
C0007785,2679
C1135993,2680
C0796430,2683
C1266176,2684
C1510426,2685
C0038828,2687
C0013292,2688
C0023903,2691
C0345904,2691
C0037198,2692
C0270639,2693
C0238454,2694
C0338575,2695
C0036769,2696
C1518716,2697
C1515283,2698
C0279665,2701
C1096638,2702
C1096639,2703
C1511318,2705
C0269107,2706
C1334807,2707
C0035333,2708
C1305256,2710
C1333416,2712
C0014536,2713
C1134515,2716
C1334259,2717
C1332895,2718
C1333153,2719
C0748616,2720
C0271558,2721
C0346319,2722
C0334664,2724
C0751937,2727
C0206743,2728
C0854917,2729
C1333003,2730
C1332272,2734
C1332259,2735
C1332248,2736
C0395865,2737
C0271432,2738
C2939185,2738
C0861856,2739
C1519866,2741
C1332919,2742
C1517119,2744
C1517120,2745
C1333590,2746
C1519859,2747
C0279652,2748
C1333499,2749
C1511193,2750
C0279682,2751
C0278619,2754
C0272256,2755
C1332936,2756
C0155420,2757
C1336983,2758
C1511208,2759
C0279681,2760
C1516435,2761
C1333470,2762
C1519827,2763
C1336890,2764
C1335424,2765
C0280328,2766
C0266361,2768
C0034069,2771
C1334271,2772
C0003128,2775
C0155388,2776
C1333417,2778
C1333019,2779
C5231192,2781
C0151311,2782
C0037018,2783
C0376527,2785
C1334576,2786
C0431129,2787
C0431128,2788
C0476144,2789
C0341767,2790
C1266180,2791
C1332903,2792
C0278876,2794
C1332196,2795
C1275668,2796
C0278510,2797
C1332957,2798
C1334970,2799
C0040046,2800
C0009377,2801
C0009374,2802
C0021847,2803
C0334345,2804
C0007121,2806
C0006264,2807
C1335316,2808
C0341486,2809
C1518875,2810
C0153490,2811
C1168225,2812
C0155686,2815
C0001614,2816
C0334327,2821
C0302182,2822
C1511053,2828
C0349561,2829
C0334270,2831
C1516864,2832
C1517128,2833
C1514430,2834
C0863015,2836
C0334271,2837
C0023743,2839
C0267154,2840
C0948039,2842
C0948638,2843
C1283271,2844
C0877152,2845
C1112577,2846
C1334619,2847
C1335971,2848
C1333975,2849
C1332891,2850
C1334677,2851
C1334678,2852
C1335687,2853
C0238393,2854
C0431111,2855
C1333756,2856
C1333757,2857
C1335176,2858
C1332637,2859
C1336726,2860
C1336727,2861
C2205442,2862
C1709053,2863
C1332276,2864
C1332277,2865
C0013289,2866
C0238337,2867
C0334286,2868
C0018824,2869
C0040961,2870
C1515301,2871
C0041182,2872
C1514608,2874
C0013578,2875
C1516426,2876
C1332917,2877
C1336917,2878
CN201046,2878
C1334628,2879
C1335169,2880
C1519914,2881
C1333097,2882
C1334231,2883
C0027339,2884
C0014752,2885
C0009440,2886
C0005395,2887
C1334261,2888
C1335975,2892
C1859101,2894
C2931317,2896
C0149985,2897
C0007114,2898
C1511934,2899
C0559458,2900
C0005806,2901
C0026884,2905
C0752143,2907
C1257958,2908
C0020456,2909
C0747533,2910
C0677865,2911
C1332192,2912
C0007762,2913
C1332951,2914
C1332973,2915
C1332612,2916
C0018500,2917
C0554472,2917
C0431121,2918
C1565950,2919
C0334495,2920
C0752282,2921
C0034212,2922
C1519849,2923
C1334620,2924
C0206651,2926
